16,中国建设银行股份有限公司,2024年度报告
董事长报告,,
,——深化改革发展，健全管理体系。全面贯彻落实党,——厚植为民情怀，积淀优秀文化。坚持以人民为
,的二十届三中全会决策部署，聚焦重点任务，找准功,中心的发展思想，运用数字化、平台化、生态化思
,能定位，为进一步全面深化改革、推进中国式现代化,维，不断拓宽服务半径，下沉服务重心，扎实做好
,提供有力金融支撑。完善内部体制机制，着力加强,对民营经济、小微企业的金融服务，用金融活水增进
,党的领导，打造权责明晰、协调运转的公司治理体,民生福祉。将中国特色金融文化的实践要求深度嵌入
,系，协同高效、专业专注的客户服务体系，全面主,内部管理、业务流程和制度机制，牢固树立正确的经
,动、有效制衡的风险内控体系，反应敏捷、安全可,营观、业绩观、风险观，在服务国家战略、企业发
,靠的信息科技体系，开放集约、智能高效的渠道运营,展、人民需要的过程中实现自身价值。抓好后继有人
,体系，激发高质量发展内生动力。优化发展模式，,这个根本大计，组织实施中青年优秀干部培养工程，
,主动适应新环境新变化，有效提升资产质量、负债质,着力锻造堪当强国建设、民族复兴重任的高素质人才
,量、资本质效、收入质量、成本质效，积极探索低,队伍。
,利率环境下的内涵式、集约式发展路径。,
,,路虽远，行则将至 ；事虽难，做则必成。我们将永
,——坚持底线思维，防范化解风险。持续完善全面风,葆赤忱、勇担使命，伴随中国经济的巨轮，劈波斩
,险管理体系，健全风险治理架构，以高水平安全保障,浪、扬帆远航！
,高质量发展。坚持把信用风险防控放在重中之重，早,
,识别、早预警、早发现、早处置，持续用力化解重,
,点领域风险，加大不良资产处置力度，提高处置质,
,效，坚决打好资产质量管控主动仗。加强线上业务全,
,流程风险管控，优化业务结构，迭代升级智能风控模,
,,张金良
,型，深化线上线下融合经营，强化风险制衡，保障,
,,董事长
,业务高质量发展。提升新型风险防控能力，有效应对,
,网络信息安全、涉赌涉诈等各类风险。,2025年3月28日
