中国建设银行股份有限公司,2024年度报告,31
,,管理层讨论与分析
,,财务回顾
发放贷款和垫款,,
2024年，本集团发放贷款和垫款总额25.84万亿元，较上年增加1.98万亿元，增幅为8.30% ，主要是本行境内贷款,,
增长推动。其中，本集团公司类贷款和垫款总额为15.18万亿元，个人贷款和垫款总额为8.98万亿元，票据贴现,,
1.63万亿元。,,
55.86%,公司类贷款和垫款 55.43%,
2024,2023,
34.33%,个人贷款和垫款,36.36%
"25,843,294","23,861,600",
1.,主要包括个人助业贷款、经营用途线上贷款等。,
2.,主要包括个人商业用房贷款、个人住房抵押额度贷款等。,
本行境内公司类贷款和垫款14.43万亿元，较上年增加1.21万亿元，增幅9.14%。其中，短期贷款4.01万亿元 ；中,,
长期贷款10.42万亿元。,,
"本行境内个人贷款和垫款8.87万亿元，较上年增加1,965.41亿元，增幅2.27%。其中，个人住房贷款6.19万亿元，",,
"较上年减少1,986.67亿元，降幅3.11% ；信用卡贷款1.07万亿元，较上年增加687.50亿元，增幅6.89% ；个人经营贷",,
"款1.02万亿元，较上年增加2,442.12亿元，增幅31.41% ；个人消费贷款5,278.95亿元，较上年增加1,062.72亿元，增",,
幅25.21%。,,
"票据贴现1.63万亿元，较上年增加5,269.65亿元，增幅47.70%。",,
"境外和子公司贷款和垫款8,549.69亿元，较上年增加504.83亿元，增幅6.28%。",,
